,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
0,id2875421,2,2016-03-14 17:48:00,2016/3/14 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,N,455
1,id2377394,1,2016-06-12 02:29:00,2016/6/12 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,N,663
2,id3858529,2,2016-01-19 12:23:00,2016/1/19 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,N,2124
3,id3504673,2,2016-04-06 20:34:00,2016/4/6 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,N,429
4,id2181028,2,2016-03-26 14:14:00,2016/3/26 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,N,435
5,id0801584,2,2016-01-30 22:14:00,2016/1/30 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,N,443
6,id1813257,1,2016-06-17 23:07:00,2016/6/17 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,N,341
7,id1324603,2,2016-05-21 08:47:00,2016/5/21 8:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,N,1551
8,id1301050,1,2016-05-27 23:38:00,2016/5/27 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,N,255
9,id0012891,2,2016-03-10 22:15:00,2016/3/10 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,N,1225
10,id1436371,2,2016-05-10 22:41:00,2016/5/10 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,N,1274
11,id1299289,2,2016-05-15 11:38:00,2016/5/15 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,N,1128
12,id1187965,2,2016-02-19 11:05:00,2016/2/19 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,N,1114
13,id0799785,2,2016-06-01 22:08:00,2016/6/1 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,N,260
14,id2900608,2,2016-05-27 02:17:00,2016/5/27 1:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,N,1414
15,id3319787,1,2016-05-16 17:07:00,2016/5/16 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,N,211
16,id3379579,2,2016-04-11 18:55:00,2016/4/11 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,N,2316
17,id1154431,1,2016-04-14 10:08:00,2016/4/14 9:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,N,731
18,id3552682,1,2016-06-27 10:49:00,2016/6/27 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,N,1317
19,id3390316,2,2016-06-05 14:25:00,2016/6/5 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,N,251
20,id2070428,1,2016-02-28 03:31:00,2016/2/28 2:31,1,-73.98036957,40.7424202,-73.96285248,40.76063538,N,486
21,id0809232,2,2016-04-01 13:17:00,2016/4/1 12:23,1,-73.97953796,40.75336075,-73.96399689,40.76345825,N,652
22,id2352683,1,2016-04-09 05:20:00,2016/4/9 3:41,1,-73.99586487,40.75881195,-73.99332428,40.74032211,N,423
23,id1603037,1,2016-06-25 11:08:00,2016/6/25 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,N,1163
24,id3321406,2,2016-06-03 09:26:00,2016/6/3 8:56,1,-73.95523071,40.77713394,-73.78874969,40.64147186,N,2485
25,id0129640,2,2016-02-14 14:14:00,2016/2/14 13:49,1,-73.95658112,40.77135849,-73.97496796,40.7327919,N,1283
26,id3587298,1,2016-02-27 23:24:00,2016/2/27 22:14,1,-73.98376465,40.74987411,-73.95883179,40.80096054,N,1130
27,id2104175,1,2016-06-21 00:49:00,2016/6/20 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,N,694
28,id3973319,2,2016-06-13 22:47:00,2016/6/13 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,N,892
29,id1410897,1,2016-03-23 15:28:00,2016/3/23 14:49,1,-73.9821167,40.75635147,-73.86569214,40.77098846,N,2331
30,id0266980,1,2016-05-17 11:08:00,2016/5/17 11:12,1,-73.97093964,40.76166916,-73.99623871,40.7253685,N,1479
31,id2822549,2,2016-05-21 13:45:00,2016/5/21 13:20,1,-73.99826813,40.72003937,-74.01036072,40.67213821,N,1048
32,id3075902,2,2016-05-10 20:47:00,2016/5/10 19:44,2,-74.00550079,40.70658875,-73.98581696,40.74420166,N,1022
33,id0023813,1,2016-04-17 16:26:00,2016/4/17 15:16,1,-73.99031067,40.75658035,-73.87091827,40.7739296,N,2269
34,id3970352,1,2016-01-09 12:55:00,2016/1/9 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,N,707
35,id3361153,1,2016-03-11 08:44:00,2016/3/11 7:20,1,-73.99456024,40.75052643,-73.97850037,40.75619125,N,526
